hotel,cafe_da_manha_incluido,piscina,spa,pesca,ar_condicionado,merguho,trilha_a_pe,hidromassagem,wifi_gratuito,recarga_veiculo_eletrico,academia,pets,cadeira_de_rodas,banheira,praia,sauna,vista_para_o_mar,servico_de_quarto,jacuzzi,com_rstaurante,estacionamento
pousada dom fernandes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
foguete style,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
trevo de arraial pousada em cabo frio,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
praia do forte flat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
casa de praia completa em cabo frio melhor custo x benefício,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
casa dela pousada,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
apartamento a 400 metros da praia do forte,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
apartamento 02 quartos na praia do forte,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
praia do forte ii,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
apartamento condomínio ilha bela braga,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
casa recanto de unamar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
apart na praça do moinho (peró) cabo frio rj,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pousada ateliê flat residence,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pousada brasil nativo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
temporada cabo frio lazer,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
casa cabo frio ogiva,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
casa de praia verão vermelho i cabo frio unamar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cobertura de alto padrão com vista para a praia do forte,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
apto confortável de 3 quartoscabo frio,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
apartamento cabo frio temporada,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pousada paraiso das conchas hostel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cantinho do yuji,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
residencial a beira mar pero,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pousada icthus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pousada espirito do mar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
caiçara flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
aipa hostel.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
casa aconchegante à beira mar com estacionamento.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
casa no centro de cabo frio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
airport pousada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
praia do forte e boemia da passagem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cobertura em cabo frio com vista para o mar e para o canal do itajuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
le bon vivant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pousada enseada das garças,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pousada zênit peró ii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pousada dunas braga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pousada do rm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pousada águas do peró,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pousada beach house,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
doce lar aconchegante,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
pousada areia do forte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cabo frio braga kitnets aluguel econômico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
